"Id","Name","PlanValue","DateOfCreation","IsPercentage"
4,Срочная и просроченная задолженность,10,2024-07-17,false
5,Операционный доход по закрепленной клиентской базе,20,2024-07-17,false
6,Выполнение плана продаж кредитов,30,2024-07-17,false
2,Количество новых привлеченных клиентов,20,2024-07-17,false
7,Выполнение плана продаж страховых полисов,10,2024-07-17,false
8,Выполнение плана продаж кредитных карт,20,2024-07-17,false
9,Автокредитование,30,2024-07-17,false
3,Выполнение плана по кредитным продуктам,30,2024-07-17,true
1,Количество активных клиентов,10,2024-07-17,true
